"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"mmu-mir-138-2-A",-1.03738741109446,10.7899901670704,-9.35089176108007,6.44398928645229e-12,6.59864502932714e-08,16.9492336651734,"Downregulated"
"hsa-mir-558-P.1",-1.10843002539533,13.115318353666,-8.85129755647379,3.09686539554868e-11,1.19048604325756e-07,15.4557940895221,"Downregulated"
"mmu-mir-138-2-A.1",-1.05652287684021,10.770852374379,-8.81383799783403,3.48775207985612e-11,1.19048604325756e-07,15.3425268175972,"Downregulated"
"hsa-mir-100-A",2.22607784544591,9.38364755790315,8.57005804542358,7.58839301240886e-11,1.94262861117667e-07,14.6011968991165,"Upregulated"
"hsa-mir-194-2-A.1",-1.20080291086384,11.0465455072095,-8.38400370433523,1.37936051542658e-10,2.82493033559363e-07,14.0306549920447,"Downregulated"
"mmu-let-7g-A.1",1.73651608828447,9.02812437484653,8.15199153938102,2.92055246401186e-10,4.46217512179088e-07,13.3137101585943,"Upregulated"
"mmu-mir-99b-A",1.48832891533985,10.4217034902488,8.12834253822674,3.1535630150487e-10,4.46217512179088e-07,13.2403045356402,"Upregulated"
"mmu-mir-100-A.1",2.11650499259493,9.65725332622393,8.07162526498102,3.79180985422015e-10,4.46217512179088e-07,13.0640172099358,"Upregulated"
"hsa-mir-194-2-A",-1.17934862187019,11.1435283907442,-8.05594391025645,3.99025708056878e-10,4.46217512179088e-07,13.0152178823348,"Downregulated"
"mmu-miR-705-P.1",-0.762367180045139,10.7303481147192,-8.02888922032084,4.35759289237391e-10,4.46217512179088e-07,12.9309661868998,"Not Significant"
"hsa-mir-125b2-A.1",2.43230359080286,9.55322255354563,7.99489443745119,4.86793686019504e-10,4.53160667712701e-07,12.8249966697482,"Upregulated"
"hsa-mir-125b2-A",2.49035609221817,9.54607693624775,7.96190409001453,5.42083207972445e-10,4.62577670803153e-07,12.7220471347093,"Upregulated"
"mmu-mir-100-A",2.25322531288766,9.67301291380084,7.91168719274654,6.38653169075879e-10,4.74693314670365e-07,12.5651335344756,"Upregulated"
"uc.198+A.1",-1.54084294607244,9.94009482760693,-7.90398045888398,6.54938569616307e-10,4.74693314670365e-07,12.5410303166144,"Downregulated"
"mmu-mir-125b-A.1",2.47689743343258,9.64847402865061,7.88566082209548,6.95351535161667e-10,4.74693314670365e-07,12.4837115751542,"Upregulated"
"hsa-mir-100-A.1",2.09429320337319,9.41141569541585,7.77269046716105,1.00655990803814e-09,6.44198341144409e-07,12.1295431056592,"Upregulated"
"mmu-miR-669c-A.1",-1.20150021639105,10.6637024391289,-7.73476308759262,1.13992081331393e-09,6.86634654607922e-07,12.01037306827,"Downregulated"
"hsa-mir-663-P",-1.08505677034117,11.7165939618979,-7.69304256524076,1.30729381418991e-09,7.05343227994912e-07,11.879135041378,"Downregulated"
"Hcd719 left.1",-1.27921096015243,8.70784051475806,-7.69270550490044,1.30874231756868e-09,7.05343227994912e-07,11.8780741380454,"Downregulated"
"mmu-mir-125a-A.1",1.60743978753459,8.93685106406484,7.66306631890814,1.44264916330624e-09,7.38636371612794e-07,11.7847452241516,"Upregulated"
"mmu-mir-125a-A",1.55444999619472,9.02000955474086,7.63663596678739,1.57366647067699e-09,7.57256193858264e-07,11.70145587211,"Upregulated"
"hsa-mir-483-A.1",-0.892711866515471,13.8223197926856,-7.62652186339301,1.62691760399236e-09,7.57256193858264e-07,11.6695676222406,"Not Significant"
"mmu-mir-223-A",1.93995772274133,9.64930612412274,7.57035833975182,1.95742381012893e-09,8.45508527925837e-07,11.4923348278235,"Upregulated"
"hsa-mir-483-A",-0.89049715585536,13.8204682581483,-7.56662384547315,1.98166061232618e-09,8.45508527925837e-07,11.4805406937145,"Not Significant"
"mmu-let-7g-A",1.70548144146775,9.03430043906515,7.469082939214,2.73387750059911e-09,1.10418392141028e-06,11.1720899884998,"Upregulated"
"hsa-mir-100-1/2-A",1.77386600499195,9.41551436374034,7.44836373505826,2.92753937100314e-09,1.10418392141028e-06,11.1064732487295,"Upregulated"
"mmu-mir-223-A.1",2.03509994066528,9.55825360785209,7.4411312595883,2.99834455207166e-09,1.10418392141028e-06,11.0835605439123,"Upregulated"
